间隔天数,预测值,实际值
4,14055.7227,12277.627
3,14055.7227,12277.627
2,14055.7227,12277.627
1,14055.7227,12277.627
6,14332.84,12242.8945
5,14138.0742,12242.8945
4,14138.0742,12242.8945
3,14138.0742,12242.8945
2,14138.0742,12242.8945
1,14138.0742,12242.8945
6,14245.64,12234.0742
5,14050.8672,12234.0742
4,14050.8672,12234.0742
3,14050.8672,12234.0742
2,14050.8672,12234.0742
1,14050.8672,12234.0742
6,14051.9,12011.3154
5,13857.1299,12011.3154
4,13857.1299,12011.3154
3,13857.1299,12011.3154
2,13857.1299,12011.3154
1,13857.1299,12011.3154
6,13892.54,11926.5527
5,13697.7744,11926.5527
4,13697.7744,11926.5527
3,13697.7744,11926.5527
2,13697.7744,11926.5527
1,13697.7744,11926.5527
6,13753.87,11644.1729
5,13559.1025,11644.1729
4,13559.1025,11644.1729
3,13559.1025,11644.1729
2,13559.1025,11644.1729
1,13559.1025,11644.1729
6,13596.76,11662.0322
5,13401.9883,11662.0322
4,13401.9883,11662.0322
3,13401.9883,11662.0322
2,13401.9883,11662.0322
1,13401.9883,11662.0322
6,13535.54,11498.9473
5,13340.7656,11498.9473
4,13340.7656,11498.9473
3,13340.7656,11498.9473
2,13340.7656,11498.9473
1,13340.7656,11498.9473
6,13469.22,11481.0381
5,13274.4453,11481.0381
4,13274.4453,11481.0381
3,13274.4453,11481.0381
2,13274.4453,11481.0381
1,13274.4453,11481.0381
6,13452.99,11547.0645
5,13258.2197,11547.0645
4,13258.2197,11547.0645
3,13258.2197,11547.0645
2,13258.2197,11547.0645
1,13258.2197,11547.0645
6,13500.25,11557.5938
5,13305.4814,11557.5938
4,13305.4814,11557.5938
3,13305.4814,11557.5938
2,13305.4814,11557.5938
1,13305.4814,11557.5938
6,13531.43,11625.126
5,13336.6631,11625.126
4,13336.6631,11625.126
3,13336.6631,11625.126
2,13336.6631,11625.126
1,13336.6631,11625.126
6,13615.14,11661.3223
5,13420.3711,11661.3223
4,13420.3711,11661.3223
3,13420.3711,11661.3223
2,13420.3711,11661.3223
1,13420.3711,11661.3223
6,13652.07,11850.0801
5,13457.2998,11850.0801
4,13457.2998,11850.0801
3,13457.2998,11850.0801
2,13457.2998,11850.0801
1,13457.2998,11850.0801
6,13685.5,11824.1113
5,13490.7324,11824.1113
4,13490.7324,11824.1113
3,13490.7324,11824.1113
2,13490.7324,11824.1113
1,13490.7324,11824.1113
6,13824.89,11947.8848
5,13630.1221,11947.8848
4,13630.1221,11947.8848
3,13630.1221,11947.8848
2,13630.1221,11947.8848
1,13630.1221,11947.8848
6,13905.2,12050.1738
5,13710.4297,12050.1738
4,13710.4297,12050.1738
3,13710.4297,12050.1738
2,13710.4297,12050.1738
1,13710.4297,12050.1738
6,13950.37,12058.5889
5,13755.5977,12058.5889
4,13755.5977,12058.5889
3,13755.5977,12058.5889
2,13755.5977,12058.5889
