间隔天数,预测值,实际值
1,0,0.0
5,2295.09,3599.1199
4,2803.7,3599.1199
3,2777.42,3599.1199
2,2787.56,3599.1199
1,2787.56,3599.1199
5,2361.47,3667.6567
4,2885.15,3667.6567
3,2857.47,3667.6567
2,2865.61,3667.6567
1,2865.61,3667.6567
5,2385.45,3669.6711
4,2914.32,3669.6711
3,2885.93,3669.6711
2,2892.06,3669.6711
1,2892.06,3669.6711
5,2387.7,3742.5415
4,2916.96,3742.5415
3,2887.76,3742.5415
2,2891.9,3742.5415
1,2891.9,3742.5415
5,2395.14,3800.6807
4,2926.07,3800.6807
3,2895.96,3800.6807
2,2898.03,3800.6807
1,2898.03,3800.6807
5,2392.14,3856.2905
4,2922.02,3856.2905
3,2891.71,3856.2905
2,2891.52,3856.2905
1,2891.52,3856.2905
5,2363.01,3882.129
4,2884.93,3882.129
3,2856.05,3882.129
2,2853.52,3882.129
1,2853.52,3882.129
5,2322.03,3872.71
4,2832.82,3872.71
3,2806.21,3872.71
2,2801.22,3872.71
1,2801.22,3872.71
5,2285.51,3837.3997
4,2788.3,3837.3997
3,2761.51,3837.3997
2,2753.98,3837.3997
1,2753.98,3837.3997
5,2240.37,3780.682
4,2732.97,3780.682
3,2706.52,3780.682
2,2696.52,3780.682
1,2696.52,3780.682
5,2173.48,3625.799
4,2650.06,3625.799
3,2625.93,3625.799
2,2613.56,3625.799
1,2613.56,3625.799
5,2093.08,3602.7075
4,2555.13,3602.7075
3,2546.22,3602.7075
2,2537.13,3602.7075
1,2537.13,3602.7075
5,2014.81,3518.9934
4,2463.28,3518.9934
3,2479.19,3518.9934
2,2476.87,3518.9934
1,2476.87,3518.9934
5,1933.88,3326.1824
4,2365.64,3326.1824
3,2386.85,3326.1824
2,2384.18,3326.1824
1,2384.18,3326.1824
5,1846.72,3186.0027
4,2253.34,3186.0027
3,2231.23,3186.0027
2,2210.43,3186.0027
1,2210.43,3186.0027
5,1785.82,3027.2888
4,2171.01,3027.2888
3,2102.84,3027.2888
2,1961.26,3027.2888
1,1961.26,3027.2888
5,1747.14,2902.012
