间隔天数,预测值,实际值
3,4501.44,6199.95
2,3725.24,6199.95
1,3609.76,6199.95
4,4134.91,6238.168
4,4562.62,6238.168
3,4562.62,6238.168
2,3734.91,6238.168
1,3615.77,6238.168
4,4133.46,6209.0786
4,4625.86,6209.0786
3,4625.86,6209.0786
2,3745.35,6209.0786
1,3614.66,6209.0786
4,4689.14,6189.3867
4,4132.18,6189.3867
3,4689.14,6189.3867
2,3755.71,6189.3867
1,3601.86,6189.3867
4,4131.22,6135.439
4,4750.32,6135.439
3,4750.32,6135.439
2,3765.36,6135.439
1,3583.81,6135.439
4,4807.38,6113.7856
4,4130.41,6113.7856
3,4807.38,6113.7856
2,3773.38,6113.7856
1,3576.2,6113.7856
4,4129.67,6101.1167
4,4858.2,6101.1167
3,4858.2,6101.1167
2,3779.06,6101.1167
1,3594.47,6101.1167
4,4900.65,6155.741
4,4128.87,6155.741
3,4900.65,6155.741
2,3781.58,6155.741
1,3631.52,6155.741
4,4128.02,6179.7227
4,4932.83,6179.7227
3,4932.83,6179.7227
2,3780.24,6179.7227
1,3668.86,6179.7227
4,4952.36,6169.5586
4,4127.07,6169.5586
3,4952.36,6169.5586
2,3774.17,6169.5586
1,3705.5,6169.5586
4,4125.85,6169.6294
4,4957.43,6169.6294
3,4957.43,6169.6294
2,3762.51,6169.6294
1,3740.52,6169.6294
4,4956.28,6215.2095
4,4124.3,6215.2095
3,4956.28,6215.2095
2,3745.89,6215.2095
1,3775.14,6215.2095
4,4122.4,6207.4478
4,4957.7,6207.4478
3,4957.7,6207.4478
2,3725.89,6207.4478
1,3810.26,6207.4478
5,3532.76,3707.6406
5,4239.88,3707.6406
4,3532.76,3707.6406
3,4520.8,3707.6406
2,4805.97,3707.6406
1,4781.5,3707.6406
5,3509.69,3645.85
5,4297.11,3645.85
4,3509.69,3645.85
3,4610.53,3645.85
2,4823.91,3645.85
1,4687.68,3645.85
5,3498.76,3762.4702
5,4353.83,3762.4702
4,3498.76,3762.4702
3,4681.89,3762.4702
2,4839.95,3762.4702
1,4587.0,3762.4702
5,3502.61,3732.0613
5,4409.66,3732.0613
4,3502.61,3732.0613
3,4731.48,3732.0613
2,4859.8,3732.0613
1,4499.87,3732.0613
5,3523.51,3407.7825
5,4463.94,3407.7825
4,3523.51,3407.7825
3,4760.3,3407.7825
2,4889.34,3407.7825
1,4446.38,3407.7825
5,4516.35,3173.5508
5,3557.43,3173.5508
4,3557.43,3173.5508
3,4780.97,3173.5508
2,4920.04,3173.5508
1,4397.89,3173.5508
5,3597.43,2968.9668
5,4566.31,2968.9668
4,3597.43,2968.9668
3,4807.75,2968.9668
2,4946.83,2968.9668
1,4337.18,2968.9668
5,4613.38,2911.1458
5,3641.47,2911.1458
4,3641.47,2911.1458
3,4838.67,2911.1458
2,4981.29,2911.1458
1,4302.95,2911.1458
5,4657.06,2793.0366
5,3687.56,2793.0366
4,3687.56,2793.0366
3,4871.78,2793.0366
2,5034.96,2793.0366
1,4326.64,2793.0366
5,3733.58,2849.9834
5,4696.88,2849.9834
4,3733.58,2849.9834
3,4904.88,2849.9834
2,5109.14,2849.9834
1,4395.37,2849.9834
5,3777.64,2969.9631
5,4732.28,2969.9631
4,3777.64,2969.9631
3,4935.83,2969.9631
2,5188.18,2969.9631
1,4463.71,2969.9631
5,4762.86,2980.925
5,3817.63,2980.925
4,3817.63,2980.925
3,4962.7,2980.925
2,5257.6,2980.925
1,4532.82,2980.925
5,3851.58,3000.9834
5,4788.17,3000.9834
4,3851.58,3000.9834
3,4983.24,3000.9834
2,5303.2,3000.9834
1,4603.95,3000.9834
5,4807.54,3037.0298
5,3877.51,3037.0298
4,3877.51,3037.0298
3,4995.5,3037.0298
2,5345.91,3037.0298
1,4688.21,3037.0298
5,4820.67,3000.276
5,3893.29,3000.276
4,3893.29,3000.276
3,4997.33,3000.276
2,5397.73,3000.276
1,4781.62,3000.276
5,3896.91,3016.7756
5,4827.08,3016.7756
4,3896.91,3016.7756
3,4986.57,3016.7756
2,5431.28,3016.7756
1,4858.76,3016.7756
5,3886.51,3353.861
5,4826.17,3353.861
4,3886.51,3353.861
3,4961.28,3353.861
2,5418.93,3353.861
1,4894.36,3353.861
5,4822.71,3186.8535
5,3864.79,3186.8535
4,3864.79,3186.8535
3,4924.99,3186.8535
2,5371.23,3186.8535
1,4924.0,3186.8535
5,4821.56,3202.6892
5,3837.15,3202.6892
4,3837.15,3202.6892
3,4883.7,3202.6892
2,5318.34,3202.6892
1,4966.53,3202.6892
5,3805.68,3039.1838
5,4822.43,3039.1838
4,3805.68,3039.1838
3,4839.24,3039.1838
2,5261.86,3039.1838
1,4983.4,3039.1838
5,4824.95,3451.4282
5,3772.17,3451.4282
4,3772.17,3451.4282
3,4793.01,3451.4282
2,5203.64,3451.4282
1,4936.45,3451.4282
5,4828.74,3808.9438
5,3738.71,3808.9438
4,3738.71,3808.9438
3,4746.85,3808.9438
2,5145.42,3808.9438
1,4833.29,3808.9438
5,3707.22,4531.609
5,4833.48,4531.609
4,3707.22,4531.609
3,4702.26,4531.609
2,5088.95,4531.609
1,4722.44,4531.609
5,3679.6,5078.0796
5,4838.94,5078.0796
4,3679.6,5078.0796
3,4661.07,5078.0796
2,5036.05,5078.0796
1,4627.03,5078.0796
5,4844.67,5672.7695
5,3657.86,5672.7695
4,3657.86,5672.7695
3,4625.54,5672.7695
2,4988.37,5672.7695
1,4570.0,5672.7695
5,4850.43,5887.103
5,3643.96,5887.103
4,3643.96,5887.103
3,4596.31,5887.103
2,4947.79,5887.103
1,4535.47,5887.103
5,4855.9,5923.7744
5,3639.78,5923.7744
4,3639.78,5923.7744
3,4574.85,5923.7744
2,4915.97,5923.7744
1,4498.09,5923.7744
5,4860.74,5972.864
5,3647.31,5972.864
4,3647.31,5972.864
3,4562.59,5972.864
2,4894.83,5972.864
1,4466.48,5972.864
5,4864.54,5959.861
5,3668.6,5959.861
4,3668.6,5959.861
3,4561.8,5959.861
2,4885.92,5959.861
1,4449.57,5959.861
5,4867.03,5874.6587
5,3701.28,5874.6587
4,3701.28,5874.6587
3,4568.38,5874.6587
2,4884.36,5874.6587
1,4447.58,5874.6587
5,3740.58,5735.634
5,4867.84,5735.634
4,3740.58,5735.634
3,4575.5,5735.634
2,4883.65,5735.634
1,4448.78,5735.634
5,4866.72,5584.3535
5,3784.28,5584.3535
4,3784.28,5584.3535
3,4583.03,5584.3535
2,4883.49,5584.3535
1,4443.7,5584.3535
5,3830.16,5478.3604
5,4863.29,5478.3604
4,3830.16,5478.3604
3,4590.65,5478.3604
2,4883.64,5478.3604
1,4422.76,5478.3604
5,4857.22,5431.008
5,3876.01,5431.008
4,3876.01,5431.008
3,4598.38,5431.008
2,4883.78,5431.008
1,4385.95,5431.008
5,3919.67,5456.1113
5,4848.14,5456.1113
4,3919.67,5456.1113
3,4605.87,5456.1113
2,4883.64,5456.1113
1,4345.69,5456.1113
5,4835.78,5411.5215
5,3958.85,5411.5215
4,3958.85,5411.5215
3,4613.02,5411.5215
2,4882.9,5411.5215
1,4312.19,5411.5215
5,3991.5,5526.953
5,4819.82,5526.953
4,3991.5,5526.953
3,4619.57,5526.953
2,4881.33,5526.953
1,4295.08,5526.953
5,4015.42,5633.364
5,4799.9,5633.364
4,4015.42,5633.364
3,4625.38,5633.364
2,4879.16,5633.364
1,4282.84,5633.364
5,4028.5,5789.626
5,4775.73,5789.626
4,4028.5,5789.626
3,4630.26,5789.626
2,4875.61,5789.626
1,4266.0,5789.626
5,4746.9,5875.8545
5,4028.47,5875.8545
4,4028.47,5875.8545
3,4633.95,5875.8545
2,4869.12,5875.8545
1,4258.26,5875.8545
5,4013.3,5898.0107
5,4713.06,5898.0107
4,4013.3,5898.0107
3,4636.37,5898.0107
2,4860.73,5898.0107
1,4273.36,5898.0107
5,3990.52,6023.566
5,4675.86,6023.566
4,3990.52,6023.566
3,4638.16,6023.566
2,4851.34,6023.566
1,4303.2,6023.566
5,4636.88,6176.075
5,3969.55,6176.075
4,3969.55,6176.075
3,4640.06,6176.075
2,4841.33,6176.075
1,4332.24,6176.075
5,3950.11,6258.349
5,4596.51,6258.349
4,3950.11,6258.349
3,4641.96,6258.349
2,4830.81,6258.349
1,4362.8,6258.349
5,3931.94,6440.162
5,4554.81,6440.162
4,3931.94,6440.162
3,4643.96,6440.162
2,4820.02,6440.162
1,4397.52,6440.162
5,3914.93,6520.751
5,4512.22,6520.751
4,3914.93,6520.751
3,4645.91,6520.751
2,4809.29,6520.751
1,4443.89,6520.751
5,4468.88,6556.8047
5,3898.6,6556.8047
